"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6553711873786942","0.29605829432803304","0.5784525722265244","0.9999999900658926","0.9179996","0.5126337323869977","0.5460501431020293","0.8184543323206126","0.4509715318572074","0.946734036321031","0.7790749627885302","0.632470510999786","0.6987844582539083","0.6589960899014349","0.7255935103222563"
"2","Multigrate","0.6118348805399757","0.3544120006858505","0.6717213690280914","0.9999999900658926","0.9230786","0.364748477935791","0.11367782428506398","0.8858042918533345","0.006390593047034765","0.22293986636971044","0.0894417718643159","0.6594920600799525","0.5718272976665347","0.6244261551145854","0.10625741042702037"
"3","scMoMaT","0.3858664875241762","0.15395105220189165","0.4999568862403976","0.9999999701976776","0.8698651","0.2021364484514509","0.03270652468755021","0.5303315340324473","0.0022172949002217295","0.37226237952808244","0.19930786609467088","0.5099435990410357","0.4087599066571733","0.4694701220874907","0.19126251350765835"
"4","MIDAS","0.6803906084945401","0.39684972487967934","0.7456504106521606","0.9999999900658926","0.9121008","0.22704097202845983","0.19170615668835203","0.9549148758605853","0.21962437715599847","0.701263697419583","0.5218197163254885","0.7057226835230682","0.5714406991271374","0.6520098897646959","0.4809025969670233"
"5","scVAEIT","0.5712371980293863","0.26441624833102795","0.6306489706039429","0.9999999900658926","0.8914144","0.14092261450631277","0.05684613471654741","0.6728483378636458","0.0","0.05679012345679016","0.00012656570249924837","0.6165756017575624","0.4405078727504778","0.5461485101547285","0.018972229719763135"
"6","StabMap","0.002800826125814236","0.0002510670997124882","0.36993640661239624","0.9439327319463094","0.7760322","0.14281797409057617","0.0027387473207906646","0.29371182951642677","0.004434589800443459","0.29092706502636206","0.08401299010088015","0.3292302579460581","0.303825190081039","0.3190682308000504","0.12645821497589524"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
