"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6230079464046385","0.2442573861679849","0.5860566943883896","0.9999999900658926","0.88563687","0.4860478809901646","0.44747290591551747","0.852976549718228","0.6217391304347826","0.9570223577235772","0.7784345176924048","0.6133305042567264","0.6680335506791479","0.635211722825695","0.7857320019502548"
"2","Multigrate","0.3039998020037216","0.10499153537571349","0.5473743416368961","0.9994613925615946","0.9052159","0.24894053595406668","0.022654216332353098","0.8231641266921185","0.02586206896551724","0.3318126114081996","0.14514506449086037","0.4889567678944815","0.49999369949908246","0.4933715405363219","0.16760658162152575"
"3","scMoMaT","0.4456865905905479","0.21724563406318953","0.5536956861615181","0.999999980131785","0.85864794","0.15488747188023158","0.016760373556438557","0.7017888158507432","0.0025957170668397143","0.4051763367463026","0.24629604889121143","0.5541569727367601","0.43302115095761073","0.5057026440251003","0.21802270090145126"
"4","MIDAS","0.6341096598295014","0.4455981222410315","0.6705744862556458","0.9999999900658926","0.9086624","0.25483996527535574","0.2251274726853098","0.9592172641852262","0.38548057259713703","0.7889362373737374","0.6335442514480336","0.6875705645980178","0.5869617702334715","0.6473270468521993","0.6026536871396361"
"5","scVAEIT","0.6384174618474587","0.3055633707120344","0.6572261452674866","0.9999999900658926","0.8797646","0.10290232726505824","0.037648870432236234","0.8240910881249636","0.0013698630136986301","0.1348549488054607","0.014950274301795075","0.6503017419732181","0.46110172557791707","0.5746217354150978","0.050391695373651464"
"6","StabMap","0.0027781519301287474","-0.020413967610418093","0.3908640667796135","0.9279944399992625","0.74271977","0.23392534255981445","0.0004350716612702162","0.24603789089398143","0.004601226993865031","0.393259385665529","0.199865597232539","0.32530567277464667","0.3057795186482276","0.3174952111240791","0.19924206996397764"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
