"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.8384270171324504","0.713449534831647","0.6865439563989639","0.9999999859753776","0.91877013","0.731881856918335","0.4214998215011818","0.9232598661585223","0.748852919756761","0.8096051235846098","0.7853042420534703"
"2","BindSC","0.7287492166223135","0.5531626167150124","0.5583114326000214","0.9995882581262028","0.9435572","0.5037789344787598","0.26370427867700563","0.913398488608568","0.6561097261450857","0.7099528810158875","0.6884156190675668"
"3","Seurat","0.6601722036411598","0.4878109906104245","0.5988147035241127","0.9971883437212776","0.8681848","0.1872166395187378","0.170746938937857","0.8650556328228406","0.5228010040489544","0.6859965603742437","0.620718337844128"
"4","Harmony","0.6248539831024003","0.4158380057016497","0.5707852616906166","0.9962832156349631","0.871377","0.10312962532043457","0.1948288954227632","0.8616975771541138","0.5077582722923211","0.6519401165324075","0.5942673788363729"
"5","fastMNN","0.6628982326295955","0.47108426698816813","0.5758738592267036","0.9974441668566536","0.8854322","0.1890958547592163","0.18853197480560818","0.8827973267901471","0.5364643350243737","0.6768251314252802","0.6206808128649176"
"6","scMoMaT","0.44138034517627656","0.18464820122239145","0.5138610396534204","0.9514684186262243","0.6627152","0.0","0.00950595237027612","0.49519402393422507","0.2918537932284996","0.5228395011695781","0.4304452179931467"
"7","StabMap","0.5640563819772372","0.28154565554248095","0.5697103887796402","0.9949242437587065","0.80165315","4.76837158203125e-07","0.02593235989117854","0.873022524609274","0.4251521270203463","0.6025591675145162","0.5315963513168482"
"8","uniport","0.5744285158179602","0.3998036451270872","0.54584801197052","0.9950296177583582","0.8218808","0.08141541481018066","0.10182759161428984","0.8038938616622912","0.4522544213750229","0.6287774476684813","0.5581682371510979"
"9","UINMF","0.46038030454093126","0.34604927115366513","0.5296475868672132","0.9742222182890948","0.7788698","0.47431230545043945","0.25518286851587757","0.7465310687728558","0.5637240126148393","0.5775748452127262","0.5720345121735715"
"10","MaxFuse_150","0.7287242544214894","0.5206164274157212","0.5549235641956329","0.9991407113916734","0.8006475","7.152557373046875e-07","0.014206601314635445","0.869427322432588","0.4210705340450212","0.7008512393561293","0.588938957231686"
"11","scConfluence_150","0.6806890532044815","0.5025061183839706","0.5672683864831924","0.9999999719507554","0.6476991","0.014240145683288574","0.03410846008690166","0.9003076798467846","0.39908885081937434","0.6876158825056","0.5722050698311097"
"12","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
