"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Bio conservation","Batch correction","Total","CkBET","CSAS","CiLISI","Modality mixing"
"1","Palette","0.21550352842913048","0.13139106523781055","0.5091495346277952","0.8495943546295166","0.96931696","0.6378985643386841","0.4249932000473703","0.8821556006250142","0.4264096207310632","0.728591081098043","0.5472822048778552","0.3714448482750663","0.8387091904193825","0.6785530714263102","0.6295690367069197"
"2","Multigrate","0.14151480700378222","0.034778264690057924","0.49435676028952","0.8263359069824219","0.9087619","0.5145828723907471","0.3698424603851208","0.7830150145125347","0.3742464347414455","0.644050566458293","0.48216808742818446","0.3170202588361986","0.8108607218695815","0.5328475508879279","0.5535761771979026"
"3","scMoMaT","0.051949847730285666","-0.0017139023030482143","0.47327916137874126","0.8045604228973389","0.8699048","0.11412876844406128","0.007005829677214272","0.8678173981861945","0.3320188824258294","0.4647142031145338","0.3850970107013112","0.013717506773062329","0.3799836591575979","0.16834740220011202","0.18734952271025743"
"4","MIDAS","0.021197232548375123","-0.002731979578018817","0.5106473974883556","0.8505534331003824","0.9068295","0.13411569595336914","0.0007496251874062968","0.8172251531903482","0.3449165208897736","0.46472998767190754","0.39284190760262716","0.0023413314583150225","0.37759079621548663","0.18760726877514883","0.18917979881631683"
"5","scVAEIT","0.04462943704169683","0.001741215614390709","0.4896831065416336","0.8348644177118937","0.5461854","0.0","0.0","0.30149886560769174","0.3427295442274037","0.21192105996691013","0.2904061505232063","0.0","0.0024866582144120962","0.0","0.0008288860714706987"
"6","StabMap","0.16453225242065225","0.06927051990070225","0.4964661025442183","0.816197673479716","0.87467474","0.38575637340545654","0.23976809784020428","0.5520809730834416","0.3866166370863222","0.5130700454456408","0.43719800043004964","0.24538972096443362","0.7027750237177344","0.4217011455693453","0.4566219634171711"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score","Modality mixing","Modality mixing","Modality mixing","Aggregate score"
