"","Embedding","iLISI","KBET"
"1","Palette",0.205099403858185,0.279479763872873
"2","Multigrate",0.141298800706863,0.121875436892438
"3","scMoMaT",0.00482487678527832,0.0784354885266481
"4","MIDAS",0.178448259830475,0.162667752705787
"5","scVAEIT",1.78813934326172e-07,0.0482997937893268
"6","StabMap",0.0948998928070068,0.172432519558206
