"","Embedding","iLISI","KBET"
"1","Palette",0.245749575751168,0.155139243573652
"2","Multigrate",0.134442278317043,0.0133293362198813
"3","scMoMaT",0.0127318246023996,0.0104977526677158
"4","MIDAS",0.217610052653721,0.0622896593591203
"5","scVAEIT",0.000933783394949777,0.041362569028547
"6","StabMap",0.165160042898996,0.0666182779707229
