,CkBET,CSAS,CiLISI,Modality mixing
Palette,0.7533291058972733,0.945888888888889,0.8944517159112708,0.8645565702324777
Multigrate,0.023462270133164237,0.16002754820936638,0.02846615009827086,0.07065198948026716
scMoMaT,0.1397733405288721,0.48912037037037037,0.33815864846441435,0.3223507864545523
MIDAS,0.6362655153804642,0.8759917465388711,0.8619701641804374,0.7914091420332575
scVAEIT,0.09892200380469246,0.3120247933884297,0.030444017470112994,0.14713027155441172
StabMap,0.15916296766011415,0.4480248306997743,0.23107536148294694,0.27942105328094513
Metric Type,Modality mixing,Modality mixing,Modality mixing,Aggregate score
