"ARI","ASW","NMI","Method","Task"
0.522983775376967,0.103278562426567,0.663380033164169,"Palette","RNA"
0.559369739470712,-0.203868478536606,0.66755801353143,"MIDAS","RNA"
0.000170610256111712,-0.31192347407341,0.00380856063828749,"Multigrate","RNA"
0.437001227909235,0.0889191180467606,0.565174361932754,"scVAEIT","RNA"
0.634319840358686,0.125172525644302,0.710405483348974,"Palette","RNA"
0.547701284289656,0.0348777286708355,0.677111547289786,"MIDAS","RNA"
0.00113668685298241,-0.225822299718857,0.00493207134312038,"Multigrate","RNA"
0.496892320085789,0.159565538167953,0.583427255315871,"scVAEIT","RNA"
0.499083782450757,0.0906981229782104,0.639399106859573,"Palette","ADT"
0.514872291053806,0.13758547604084,0.667862067869573,"MIDAS","ADT"
-9.11702147436145e-07,-0.214564606547356,0.00382846602518771,"Multigrate","ADT"
0.396361743462457,0.076858401298523,0.593721785832172,"scVAEIT","ADT"
0.648562925711862,0.189952746033669,0.748885534113129,"Palette","ADT"
0.619778454618189,0.13125342130661,0.714365188926376,"MIDAS","ADT"
0.00231174987448511,-0.106439761817455,0.00668106130913283,"Multigrate","ADT"
0.466655019268778,0.227571621537209,0.636106212628163,"scVAEIT","ADT"
0.572161467250183,0.0962425053016382,0.696278334533346,"Palette","ATAC"
0.314765097110984,-0.160988576943983,0.517910385862772,"MIDAS","ATAC"
0.00230057026710385,-0.27875903464445,0.00701702209922866,"Multigrate","ATAC"
0.512839708973014,0.31989616894686,0.661975216627328,"scVAEIT","ATAC"
0.657297373766181,0.0519216604323537,0.715608405351718,"Palette","ATAC"
0.31890942828972,-0.669659231707186,0.50839081397587,"MIDAS","ATAC"
0.00166613693782851,-0.208330395816281,0.00597746310102462,"Multigrate","ATAC"
0.337741577150453,0.112111808700945,0.558104677868927,"scVAEIT","ATAC"
