"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6862007358773309","0.4910925600862781","0.5566205307841301","0.9925484138986339","0.8859164","0.45907217264175415","0.4873823855769877","0.7742727513904821","0.4752079166228024","0.805037100456621","0.6944919973668063","0.6816155601615932","0.6516609303714755","0.6696337082455461","0.6582456714820766"
"2","Multigrate","0.6441404169319055","0.4056169449106152","0.5268726795911789","0.9896343842796658","0.9278709","0.28062283992767334","0.24044848458570947","0.8137850023399332","0.019227239353891337","0.17458001687268457","0.0739832646583421","0.6415661064283413","0.5656818140236242","0.6112123894664545","0.08926350696163933"
"3","scMoMaT","0.5622465271790925","0.3200220813531448","0.5005562251899391","0.988958566085152","0.90301865","0.2341882586479187","0.16198024305954442","0.7325444654657761","0.02131960802308626","0.17007223225992635","0.04650314753498286","0.5929458499518321","0.5079329051415078","0.5589406720277024","0.07929832927266516"
"4","MIDAS","0.6307428190595584","0.38941183588584205","0.5514503009617329","0.9940801910732103","0.91403466","0.4287205934524536","0.3830780031787637","0.8840990964159013","0.35437892983950464","0.6992225887119468","0.6181473848970712","0.6414212867450859","0.6524830894195022","0.6458460078148525","0.5572496344828409"
"5","scVAEIT","0.6729337113595305","0.43716326744019857","0.5399051755666733","0.9994125573531442","0.8608567","0.21309193968772888","0.1740248900070691","0.6825738353321441","0.0","0.0001359011283364057","0.0","0.6623536779298866","0.48263684422285336","0.5904669444470734","4.5300376112135234e-05"
"6","StabMap","0.031598037130258175","0.001431988239556773","0.1969933807849884","0.8344850540161133","0.7442696","0.22204285860061646","0.10794026849612438","0.10015138226814414","0.14859359567712288","0.689192584364752","0.3901661950942526","0.2661271150427292","0.2936010297040447","0.2771166809072554","0.40931745837870914"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
