"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6502137422476538","0.4586035629759234","0.5428387448191643","0.9870480091675468","0.88561434","0.3657190004984538","0.35508205426301936","0.71828134389183","0.26041795665634676","0.8979706373172283","0.583303101500139","0.6596760148025721","0.581174183547565","0.6282752823005693","0.580563898491238"
"2","Multigrate","0.38988617256279906","0.24099536360291138","0.491751354187727","0.9735071555427883","0.89389056","0.14177637630038792","0.02466568586938032","0.60533613954253","0.0","0.5194780465949821","0.23148173301462138","0.5240350114740564","0.4164171903464019","0.48098788302299456","0.2503199265365345"
"3","scMoMaT","0.40362638771153775","0.18211304377544701","0.459964394569397","0.9834773903307708","0.8720643","0.09137458271450466","0.02826288675685013","0.5611405346889882","0.0","0.46150538340336134","0.2054371041092521","0.5072953040967881","0.3882105741478052","0.45966141211719497","0.22231416250420447"
"4","MIDAS","0.6061278628288225","0.39226502008128344","0.5392966344952583","0.9862545884173849","0.9103589","0.27589326434665257","0.13460940287061282","0.8547628602776113","0.10545970397512974","0.8276564976508547","0.5125215540820011","0.6309860264556872","0.5439061083217782","0.5961540592021236","0.48187925190266184"
"5","StabMap","0.02547355278650318","-0.005016920796866296","0.17080989480018616","0.8413741692252781","0.7130351","0.12519166204664442","0.0005545696539485359","0.1664213648208528","0.012816184704564916","0.7276209812011002","0.23186435525165522","0.2581601740037753","0.2513006757950953","0.2554163747203033","0.3241005070524401"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
