"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"2","Palette_v1","0.6487164103528014","0.5781242694554499","0.5811290219426155","0.9841958284378052","0.9330062866210938","0.7457393805185953","0.7846774118584033","0.890963732567538","0.8140217579001899","0.9785692482121053","0.7872257793829118","0.698041382547168","0.8385967028914075","0.7542635106848639","0.8599389284984024"
"3","Palette_v2","0.6378173174701942","0.4690907746470151","0.5830938443541527","0.9833801627159119","0.9380773305892944","0.7447403271993002","0.7164897529167978","0.8784464872754065","0.8169515669515669","0.9766207607270002","0.7840595242496327","0.6683455247968184","0.8194384744951998","0.728782704676171","0.8592106173094"
"1","Palette","0.6415476317722314","0.48846713008848924","0.5799420922994614","0.9847535729408264","0.9199260473251343","0.7413810888926188","0.7208095032746812","0.8959067650313369","0.8392490466412438","0.9771296296296296","0.7856412383773369","0.6736776067752521","0.8195058511309428","0.7320089045175284","0.8673399715494035"
"4","Palette_v3","0.6376200187860933","0.4707153049956522","0.5786858573555946","0.9833502054214478","0.9405205249786377","0.7516790231068929","0.7655326094149775","0.8757073609203094","0.826800207218097","0.9798273431994362","0.7922437978845482","0.667592846639697","0.8333598796052044","0.7338996598259","0.8662904494340271"
"5","Palette_v4","0.6475004092897311","0.5774664669842113","0.5793850049376488","0.9852139353752136","0.9283537268638611","0.7387657165527344","0.6144554859592937","0.8611310316683951","0.8162393162393162","0.9751178451178452","0.7809693832314692","0.6973914541467012","0.7856764902610711","0.7327054685924492","0.8574421815295435"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
