"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.5897530281267918","0.4423901143464182","0.5423169396817684","0.9836658954620361","0.92607397","0.7321447531382242","0.4887518839975258","0.7355813335482705","0.7579935464945732","0.9715114250828537","0.7734264484950706","0.6395314944042536","0.7206379847736282","0.6719740905520034","0.8343104733574992"
"2","Multigrate","0.0011243962048987186","3.3126537138242374e-05","0.4821741580963135","0.6663662910461425","0.9053442","0.5022554397583008","0.27123834833740806","0.15763344666363285","0.19973279893119572","0.9347438928289993","0.47425407333026603","0.28742449297112327","0.45911785574317254","0.356101838079943","0.536243588363487"
"3","scMoMaT","0.314075058507566","0.11010941349030472","0.47702573984861374","0.9377255797386169","0.91442007","0.3036753336588542","0.002736324515014651","0.6285478557295585","0.01106118216384376","0.6533333333333333","0.31650996121373093","0.4597339478962753","0.46234489554185876","0.4607783269545087","0.326968158903636"
"4","MIDAS","0.5750184677833412","0.41796517534219213","0.569305308163166","0.9791073203086853","0.9250195","0.4177459081013997","0.38658651415941175","0.7708790063554762","0.3754101191504058","0.7814026792750197","0.5304589933186009","0.6353490678993462","0.6250577328140146","0.6312325338652136","0.5624239305813421"
"5","scVAEIT","0.47542910361177093","0.2743727458623993","0.5006431358633563","0.9687722802162171","0.47372752","0.0","0.0","0.3638272505779399","0.0","0.02667137476459508","0.0","0.554804316388436","0.209388693714622","0.4166380673189104","0.008890458254865027"
"6","StabMap","0.007952511644985541","0.0010460322907959367","0.43808501586318016","0.7589424848556519","0.5200653","7.947285970052083e-08","0.0","0.18014035782074622","0.0","0.29704491725768317","0.003516557981726287","0.30150651116365335","0.17505143622769836","0.25092448118927135","0.10018715841313648"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
