"ARI","ASW","NMI","Method","Task"
0.582612531220989,0.0348285660147667,0.703095396461032,"Palette","RNA"
0.605106832943595,-0.174055501818657,0.69241380219416,"MIDAS","RNA"
0.408533831213143,0.15329447388649,0.574094380484838,"Multigrate","RNA"
0.390451903915873,0.0436345525085926,0.559601686224389,"scVAEIT","RNA"
0.656813982899311,0.105635479092598,0.725236917536704,"Palette","RNA"
0.56325857911852,-0.167326524853706,0.675224079005472,"MIDAS","RNA"
0.4475046361805,0.124598927795887,0.53695880738902,"Multigrate","RNA"
0.34266612511667,0.0472706593573093,0.476634535237427,"scVAEIT","RNA"
0.545311092745062,0.133559361100197,0.672557771096662,"Palette","ADT"
0.582372968774983,0.206786617636681,0.704646382688151,"MIDAS","ADT"
0.340099785576038,0.0681805908679962,0.572196423947671,"Multigrate","ADT"
0.375688910332226,0.0911357328295708,0.571982808685128,"scVAEIT","ADT"
0.6543489246435,0.202133357524872,0.742964191717329,"Palette","ADT"
0.650690770432951,0.200626626610756,0.720910113072407,"MIDAS","ADT"
0.396419830303777,0.22527813911438,0.602445169085688,"Multigrate","ADT"
0.543052208018896,0.186067029833794,0.666705186045918,"scVAEIT","ADT"
0.523990332608058,0.122404976553369,0.68077166117667,"Palette","ATAC"
0.282332294085917,-0.218126967237871,0.491320695115649,"MIDAS","ATAC"
0.42094964934671,0.118444785125941,0.594723755694425,"Multigrate","ATAC"
0.462070780658657,0.251102042268533,0.647052188381986,"scVAEIT","ATAC"
0.639875141945347,0.0655041233081992,0.718063544599918,"Palette","ATAC"
0.26020548132453,-0.669498479898182,0.471679969383008,"MIDAS","ATAC"
0.303713726709468,-0.0449616634931552,0.47446819909742,"Multigrate","ATAC"
0.281726908141154,0.00861302799049207,0.45014918823314,"scVAEIT","ATAC"
