Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,KBET(modality),SAS,F1 LISI,Bio conservation,Batch correction,Total,Modality mixing
Palette,0.6922127774798503,0.5079214000537972,0.5671534836292267,0.9933494484942892,0.90520215,0.4614717960357666,0.501218084221336,0.7629664780202626,0.425499214495834,0.7293974339195721,0.7787774075460016,0.6901592774142908,0.6577146271555534,0.6771814173107958,0.6445580186538026
Multigrate,0.6287553875155133,0.36556080652804085,0.544048797339201,0.9937278809754745,0.9225809,0.2796698212623596,0.2425172753239743,0.8280719890527776,0.07621001599719554,0.16811297953306592,0.01692058037865744,0.6330232180895574,0.5682099958617967,0.6070979291984531,0.08708119196963963
scMoMaT,0.5776693343582038,0.3508703163235455,0.5076165809296072,0.9902293371117633,0.8890684,0.23549190163612366,0.1616532643103738,0.7545487060538073,0.049700386891546315,0.1581507765093078,0.024265413173544376,0.6065963921807799,0.5101905741754988,0.5680340649786675,0.07737219219146617
MIDAS,0.6487151637465101,0.4639073584445366,0.5443379059433937,0.9924226221830948,0.9200244,0.42738622426986694,0.3746751087263855,0.9031041825242833,0.3170297246578028,0.6245988892317186,0.7193254429781868,0.6623457625793838,0.6562974776273873,0.6599264485985852,0.553651352289236
scVAEIT,0.6808048226131262,0.45099398902279303,0.5286630187183619,0.9992845162101414,0.8414138,0.15327075123786926,0.13727223596009122,0.6397915448368214,0.008957241896284438,6.556618327676252e-05,0.0,0.6649365866411057,0.44293708199570264,0.5761367847829444,0.003007602693187067
StabMap,0.03391503010829499,0.003404618499364262,0.17414429783821106,0.8410794838615085,0.7802379,0.2502474784851074,0.16705679487110295,0.11066951150494005,0.08885557813267306,0.3180898385272035,0.1464225603654963,0.2631358575768447,0.3270529244982161,0.28870268434539326,0.18445599234179097
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score
