"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6348175982297201","0.4867562179540624","0.5408238209784031","0.9851708889007569","0.954553","0.7340355714162191","0.5459234390880023","0.7561104302837905","0.8454415954415955","0.9773177511549604","0.776772155044797","0.6618921315157356","0.7476556122168851","0.6961975237961955","0.8665105005471178"
"2","Multigrate","0.5039537401504923","0.31301282050006785","0.5062499232590199","0.9339249134063721","0.8522509","0.4755122661590576","0.13596553756584254","0.527196317620743","0.13659126230357452","0.8240388379923264","0.3166940345373707","0.564285349328988","0.49773124884703857","0.5376637091362082","0.42577471161109054"
"3","scMoMaT","0.3364043501028151","0.22471988276441762","0.49353359267115593","0.9387940526008606","0.90368915","0.3041842778523763","0.017700852753843914","0.6079102077411541","0.04368834306422388","0.5756651676972081","0.34574643609287725","0.4983629695348123","0.45837112109731104","0.48236623015981184","0.32169998228476976"
"4","MIDAS","0.6067877045860458","0.48730499641592895","0.5630612894892693","0.9830404996871949","0.89761233","0.2752494017283122","0.11060685490105276","0.7962504545316021","0.20463187003110958","0.6037544500655799","0.3976023858357496","0.6600486225446097","0.5199297611146741","0.6040010779726355","0.4019962353108131"
"5","scVAEIT","0.3810022083249256","0.15400995599263895","0.5094554582610726","0.9783287763595581","0.40259466","0.0","0.0","0.2434193195991556","0.0","0.00021803593232160918","0.0","0.5056990997345487","0.1615034938378344","0.368020857375863","7.267864410720306e-05"
"6","StabMap","0.0075335762765542675","0.0005608806267192505","0.3091026842594147","0.7667303085327148","0.5454756","1.1920928955078125e-07","0.0","0.20636441144034287","0.0","0.360224586288416","0.016261768555567952","0.27098186242385075","0.18796003319989896","0.23777313073427003","0.12549545161466133"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
