"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6223326863767364","0.47927929784733647","0.5444575473666191","0.9846985459327697","0.9299812","0.7343408266703287","0.5314801077481142","0.7319523026655897","0.8133903133903134","0.9715840576305692","0.7730175704089973","0.6576920193808655","0.7319386022922102","0.6873906525454034","0.8526639804766266"
"2","Multigrate","0.5222303488959553","0.3246983640697539","0.5066157756373286","0.914131224155426","0.8092641","0.07160890102386475","0.0006878752081711411","0.45502006080602636","0.0","0.48857368006304175","0.12008233950386327","0.566918928189616","0.3341452401194628","0.4738094529615547","0.20288533985563503"
"3","scMoMaT","0.4325290757840389","0.28183926326904357","0.4901132369413972","0.938019049167633","0.9393666","0.3093032439549764","0.0021745032176987036","0.5544053616917678","0.011406844106463879","0.675093685591156","0.3198574317349425","0.5356251562905281","0.4513124219800573","0.5019000625663398","0.33545265381085415"
"4","MIDAS","0.5288689968598018","0.4008854020008333","0.5482742600142956","0.9769459009170532","0.9167516","0.45746572812398273","0.2984234525159801","0.7584544142489794","0.41393195087578016","0.7788292529817953","0.5478960151659388","0.613743639947996","0.6077738045106572","0.6113557057730604","0.580219073007838"
"5","scVAEIT","0.3400347979029961","0.16282011339483513","0.5059610516764224","0.9494444251060485","0.5174166","7.947285970052083e-08","0.0","0.46568372746496234","0.0","0.0963888888888889","0.0005844451100433707","0.4895650970200755","0.2457751008376202","0.39204909854709336","0.03232444466631076"
"6","StabMap","0.0011648880901875542","-0.0010702347970069084","0.41313065588474274","0.7034033536911011","0.5035616","0.0022810697555541992","0.0","0.19418985945040265","0.0","0.3070133963750985","0.03529870714712269","0.27915716571725613","0.1750081362874664","0.23749755394534022","0.11410403450740707"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
