"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6368678176930165","0.27117099928000865","0.5752886831760406","0.9999999900658926","0.89544415","0.456207343510219","0.4067593782238606","0.8100553992564243","0.5473361441165198","0.9245024875621891","0.7755068961970726","0.6208318725537396","0.6421165689324709","0.629345751105232","0.7491151759585938"
"2","Multigrate","0.4562915710138108","0.2977897233333199","0.5727868601679802","0.9994913140932719","0.9043719","0.20590203148978098","0.031906741515386895","0.7779388608496122","0.0","0.2101277372262774","0.0645541134564171","0.5815898671520957","0.48002988777563804","0.5409658754015126","0.09156061689423149"
"3","scMoMaT","0.4531176987026876","0.22189216167929493","0.5595413148403168","0.9999999602635702","0.83562124","0.16420803751264298","0.09178296506758647","0.7443443158152703","0.0038860103626943004","0.38912452419793364","0.19519459853253482","0.5586377838714673","0.4589891390375804","0.5187783259379126","0.19606837769772092"
"4","MIDAS","0.6016392325899657","0.3441426876949429","0.6873093694448471","0.9999999900658926","0.9008675","0.24703145027160645","0.21525623374296915","0.9623789229835318","0.2651122625215889","0.7222194220430107","0.5434351737349211","0.6582728199489121","0.5813835321902387","0.6275171048454428","0.5102556194331735"
"5","scVAEIT","0.669993015319229","0.40100425310464105","0.6514858156442642","0.9999999900658926","0.87322164","0.1104494503566197","0.051654511213868555","0.8999776908906453","0.0015331544653123803","0.1919270833333333","0.04360462234247106","0.6806207685335067","0.48382582206990377","0.6019027899480656","0.07902162004703892"
"6","StabMap","0.0025177591149212093","-0.015576775241039252","0.4463316760957241","0.9270250201225281","0.7566093","0.15310706411089217","0.0","0.23164650273773943","0.0022997316979685703","0.41996527777777787","0.1868610206183759","0.34007442002303356","0.28534072187229886","0.3181809407627397","0.20304201003137412"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
