"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6999782271829652","0.5120286210386226","0.5696586295962334","0.9941753252692844","0.89839876","0.46377062797546387","0.5102562117927797","0.7634021228700192","0.4558058925476603","0.7845763031493005","0.6571245295261462","0.6939602007717764","0.6589569299047897","0.6799588924249818","0.6325022417410356"
"2","Multigrate","0.6452881337659057","0.41514715586948714","0.535682488232851","0.9907697491023851","0.93306124","0.30087971687316895","0.23224522632823302","0.8626228470842013","0.024822695035460994","0.18864626645184746","0.08164716058114807","0.6467218817426572","0.582202258097295","0.6209140322845124","0.0983720406894855"
"3","scMoMaT","0.603599552663796","0.3681196769896507","0.5217878688126802","0.9912351318027662","0.89923906","0.2311171293258667","0.19041427133548214","0.7973448082710698","0.02857142857142857","0.13761537541846003","0.02418631626244172","0.6211855575672233","0.5295288180488396","0.5845228617598698","0.06345770675077678"
"4","MIDAS","0.668255261461346","0.47032913955739447","0.5523466505110264","0.9945246188536935","0.92356294","0.4434654712677002","0.4119776926023086","0.8972571858861073","0.35556879094699223","0.7060190659178244","0.6012311808796641","0.6713639175958651","0.6690658234228776","0.6704446799266701","0.5542730125814935"
"5","scVAEIT","0.6840460198635709","0.4654501455698829","0.5685501471161842","0.9995954399523528","0.8376961","0.1716809868812561","0.1977579583127547","0.6840330588167874","0.0","0.002324804128839701","0.0","0.6794104381254977","0.4727920198625628","0.5967630708203238","0.0007749347096132336"
"6","StabMap","0.028214721223314566","-0.0021757274053830463","0.1494920551776886","0.8513210545415464","0.82021636","0.2906351089477539","0.2883671234406376","0.12456227369341703","0.2864800476474092","0.8515362369852775","0.41289662762586277","0.2567130258842916","0.38094521594744646","0.3064059019095535","0.5169709707528498"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
