"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"2","Palette_s1","0.7239672886343597","0.5748731593975482","0.579446591436863","0.9973816573619843","0.9070802330970764","0.3892830848693848","0.389779670292946","0.8390967955875256","0.46794673273459275","0.8900272585669782","0.7147078602619894","0.7189171742076887","0.6313099459617332","0.6838742829093065","0.6908939505211867"
"3","Palette_s2","0.7229274809487493","0.5951908019673604","0.5815637335181236","0.9969103336334229","0.9054684638977051","0.3812821388244629","0.4985941215187721","0.822885483980496","0.5555555555555556","0.8955135961488421","0.7521170704716468","0.7241480875169141","0.6520575520553591","0.695311873332292","0.7343954073920148"
"4","Palette_s3","0.7269626698175344","0.561620674930884","0.5735660418868065","0.9979749768972397","0.8984031081199646","0.38241071701049806","0.4477361837122455","0.8315398658200264","0.4925509970203988","0.8835400460570455","0.7296301205441644","0.7150310908831161","0.6400224686656837","0.6850276419961432","0.7019070545405363"
"1","Palette","0.7336586859137691","0.5847400691501952","0.5719964280724525","0.998138889670372","0.8994879722595215","0.376158618927002","0.4003040816513105","0.7886262721401174","0.509033553197591","0.8913135593220339","0.7209673183779421","0.7221335182016972","0.6161442362444878","0.6797378054188135","0.7071048102991891"
"5","Palette_s4","0.734096104447989","0.5940843886366122","0.5842150375247002","0.9967140480875969","0.9156895875930786","0.37254676818847654","0.49850360938489047","0.7893431812063654","0.4115586690017513","0.8637180305947153","0.6645952924221964","0.7272773946742246","0.6440207865932028","0.6939747514418159","0.6466239973395543"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
