"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.8204453189499377","0.6699751250519561","0.6920925825834274","0.9999999859753776","0.92158824","0.7214078903198242","0.4163406240775038","0.9172861604571092","0.7441557292271057","0.7956282531401747","0.7750392435749471"
"2","BindSC","0.7145149304669107","0.5882134036134408","0.546548206359148","0.9988051793154549","0.9455527","0.45982515811920166","0.23358655839736409","0.9165540480992015","0.6388796178335531","0.7120204299387386","0.6827641050966644"
"3","Seurat","0.6026350219814598","0.4577442965011619","0.5767923966050148","0.9926190656774184","0.8538115","0.19215238094329834","0.1563397282917294","0.8243280201357392","0.5066579079568581","0.6574476951912638","0.5971317802975016"
"4","Harmony","0.570242066304417","0.387676338832736","0.5576585903763771","0.9924729922238518","0.8630094","0.18035149574279785","0.19807452616130783","0.8149059630058978","0.5140853445312957","0.6270124969343455","0.5818416359731255"
"5","fastMNN","0.6010062139749895","0.4384338916097544","0.5556498877704144","0.9929614487816306","0.8714411","0.23956000804901123","0.1972395907113613","0.8428945034646633","0.5377838070236967","0.6470128605341973","0.603321239129997"
"6","scMoMaT","0.43062550886644757","0.21095923992250235","0.5104900235310197","0.946149510495803","0.70299655","0.0","0.008783338446641321","0.4950299313245297","0.30170245544042","0.5245560707039432","0.4354146245985339"
"7","StabMap","0.5387717602067161","0.30713242319165124","0.5627300962805748","0.9911682325250962","0.8017219","5.960464477539062e-07","0.027727619291990812","0.8374892930003","0.41673484480948475","0.5999506280510096","0.5266643147543997"
"8","uniport","0.5057790096951376","0.3528852315933985","0.5355700701475143","0.9908551117953133","0.80528075","0.08873999118804932","0.09712057246081907","0.7794771592081435","0.44265461697161534","0.5962723558078409","0.5348252602733506"
"9","UINMF","0.4565875954373332","0.35190913823930636","0.5081471092998981","0.9649903774261475","0.7616675","0.3448519706726074","0.190885071233721","0.7130444980617685","0.5026122574933976","0.5704085551006712","0.5432900360577617"
"10","MaxFuse_100","0.6776320916197072","0.42869416720695225","0.5549507774412632","0.999150837168974","0.79769623","0.0024472475051879883","0.013018693687991556","0.8692174328421205","0.4205949017077538","0.6651069683592241","0.567302141698636"
"11","scConfluence_100","0.65923022912321","0.5008951864524628","0.5625604093074799","0.9999218688291662","0.6124047","0.010177135467529297","0.022236591748247252","0.8539278968443571","0.3746865820385167","0.6806519234280797","0.5582657868722545"
"12","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
