Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.48917505251400845,0.2904339951846415,0.4388610050082207,0.9863496137701947,0.8965213,0.1995447874069214,0.08010671641479081,0.6006977254860464,0.00016181229773462783,0.3741026003391747,0.2218570902560131,0.0010795250089960418,0.035624315443592514,0.2218570902560131,0.5512049166192663,0.44421762489571864,0.5084099999298473,0.19870716763097415,0.08618697690286721
Multigrate,0.5957502778339413,0.36228829229010384,0.5193810947239399,0.9890145737191905,0.9374037,0.19183406233787537,0.10740028588809299,0.7788450184748704,0.0025627883136852894,0.24133211678832114,0.10150249244194859,0.012132604237867396,0.1521090534979424,0.10150249244194859,0.6166085596417938,0.5038707613987204,0.5715134403445645,0.11513246584798502,0.08858138339258613
Palette_harmony,0.6917602705438071,0.4929490638478219,0.5710944160819054,0.9956892987956172,0.8820837,0.25521525740623474,0.26486718662529135,0.7423174611405093,0.09931630082763584,0.676342501637197,0.46466983110139887,0.16778523489932887,0.5067542213883677,0.46466983110139887,0.6878732623172878,0.5361209047950917,0.6271723193084093,0.4134428778554106,0.37973642912969846
Palette_harmony_supervised,0.7255938152295826,0.6452885924843771,0.6057557389140129,0.9974440906358801,0.8881769,0.31132134795188904,0.3121686526945822,0.7472389754310923,0.18074074074074073,0.749141541038526,0.5107123760313099,0.21556274476417503,0.5357018985031032,0.5107123760313099,0.7435205593159632,0.5647264735268371,0.6720029250003128,0.4801982192701922,0.42065900643286275
Palette_fastMNN,0.7018721386284135,0.4741190424904006,0.5604814924299717,0.9947696665058965,0.87013835,0.34098997712135315,0.310809204076325,0.7325090467041019,0.18423893486865778,0.7375387196695922,0.4943191835503258,0.27147941026944583,0.7013257575757575,0.4943191835503258,0.6828105850136705,0.5636116437626688,0.6351310085132699,0.4720322793628586,0.4890414504651764
Palette_fastMNN_supervised,0.7276058779445008,0.6005177957466471,0.6088129803538322,0.9976073607154514,0.8706414,0.346979022026062,0.3276533875262046,0.7699197907412952,0.19814241486068113,0.8133165829145729,0.5302666628565983,0.2518796992481203,0.6700947603121516,0.5302666628565983,0.733636003690108,0.5787984026610904,0.6717009632785009,0.5139085535439508,0.48408037413895677
Palette_Seurat,0.70445416364552,0.508131309673014,0.5642418637871742,0.9957522931306259,0.86409885,0.25186970829963684,0.27452182623966187,0.7448333407667033,0.13863636363636364,0.6989949748743719,0.4760533000786926,0.22857142857142856,0.6069523809523809,0.4760533000786926,0.6931449075590835,0.5338309305545965,0.6294193167572888,0.43789487952980943,0.43719236986750065
Palette_Seurat_supervised,0.7355811431559369,0.6758318051521265,0.6204327940940857,0.9974840620289678,0.8681605,0.2784256935119629,0.30229491261196884,0.7538401628688326,0.19083165853191694,0.7297413793103449,0.5032499211444422,0.24494949494949494,0.5765946502057613,0.5032499211444422,0.7573324511077792,0.5506803138035195,0.6746715961860753,0.47460765299556806,0.44159802209989946
Palette_denovo,0.6714797424375856,0.43569868335744183,0.5454372689127922,0.9923350137213002,0.8763371,0.3465631306171417,0.351211974880466,0.7450103931540676,0.2193746796514608,0.7564341085271318,0.5572520419046847,0.3557341124908692,0.7333157524613221,0.5572520419046847,0.66123767710728,0.5797806524119804,0.6286548672291601,0.5110202766944257,0.5487673022856253
Palette_denovo_supervised,0.7234792806294301,0.5786408358174958,0.6094180345535278,0.996705060419829,0.88114065,0.38506418466567993,0.46940776639850285,0.7475508552257808,0.3585185185185185,0.8459049479166667,0.6447828092295811,0.5132548569241075,0.8181611721611721,0.6447828092295811,0.7270608028550707,0.6207908639021646,0.6845528272739083,0.6164020918882555,0.6587329461049536
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
