"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6287740248895917","0.4679859832351134","0.5491884835064411","0.9863126039505005","0.9441769","0.7344930171966553","0.5774231779302808","0.75520129404664","0.844017094017094","0.975925925925926","0.7768135377842664","0.6580652738954117","0.7528236003703288","0.6959686044853786","0.8655855192424289"
"2","Multigrate","0.5551984184706622","0.3452083476457729","0.5265713259577751","0.9429447650909424","0.84930915","0.3326420783996582","0.08100551009084919","0.5290754885737756","0.09975439259399206","0.79392177589852","0.3736380418121775","0.5924807142912881","0.4480080558671373","0.5346916509216277","0.42243807010156315"
"3","scMoMaT","0.4499300666937199","0.28517106935216807","0.5179504137486219","0.9440259814262391","0.9025617","0.30298471450805664","0.017547195313893156","0.6567525492368896","0.024716098864395457","0.5791265366846762","0.3409092394461175","0.5492693828051872","0.46996154581119576","0.5175462480075906","0.31491729166506305"
"4","MIDAS","0.6800927407528328","0.5536738346335892","0.6007648855447769","0.9886455059051513","0.9177025","0.3791799545288086","0.20385059572023326","0.8069055106091785","0.2621082621082621","0.7228185812931576","0.4650754872976389","0.7057942417090876","0.5769096392275022","0.6542404007164534","0.48333411023301953"
"5","scVAEIT","0.36475323503346674","0.16318482396856002","0.49473622208461165","0.9747793555259705","0.48741037","3.9736429850260414e-08","0.0","0.44713482183488407","0.0","0.05311223771299818","0.0","0.4993634091531522","0.2336363070266252","0.3930725683025414","0.01770407923766606"
"6","StabMap","0.009324189347813708","0.00023693954739127264","0.4239048361778259","0.7579035758972168","0.5624624","1.5894571940104166e-07","0.0017749652724185832","0.19420137781203178","0.0","0.34839637509850274","0.015620375097983233","0.2978423852425619","0.18960972287482913","0.2545493202954688","0.121338916732162"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
