"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette_34_miss5","0.6258668260301246","0.4585687881091273","0.5905053317546844","0.9901986225791599","0.8712789416313171","0.3727672364976671","0.4391895881649544","0.7426712349258775","0.4094765332556022","0.8934297534967456","0.6254253024625079","0.666284892118274","0.606476750304954","0.642361635392946","0.6427771964049519"
"2","Palette_34_miss10","0.632758341788977","0.46796335398489386","0.5904510393738747","0.9902034116827924","0.8716568946838379","0.37147177590264213","0.433593885872032","0.7381863327183531","0.4172661692343124","0.8793760513036165","0.6054958975895779","0.6703440367076345","0.6037272222942163","0.6436973109422672","0.6340460393758356"
"3","Palette_34_miss20","0.6183140048724861","0.44045236944305494","0.5904199630022049","0.9899853934412417","0.8707547187805176","0.3743247985839844","0.4482659305021858","0.726236640399527","0.3927170920282936","0.8858437100893997","0.6000590841430522","0.6597929326897469","0.6048955220665537","0.6378339684404697","0.6262066287535818"
"4","Palette_35_miss5","0.6580262180561918","0.5126137029496094","0.5995154455304146","0.9913791625396066","0.8732609748840332","0.38010162777370876","0.44843457679495186","0.7322896460939553","0.45800934931684256","0.9023754409171076","0.655360519765252","0.6903836322689556","0.6085217063866623","0.6576388619160383","0.6719151033330674"
"5","Palette_35_miss10","0.6576354766169302","0.5010888136302277","0.5998995676636696","0.9915804759315823","0.872922420501709","0.37835650973849827","0.44438956152529707","0.7511824502396305","0.42973581576748077","0.8976501181043781","0.6336513005892201","0.6875510834606025","0.6117127355012837","0.6572157442768749","0.6536790781536931"
"6","Palette_35_miss20","0.6592075585932262","0.5029274462637571","0.6002692058682442","0.9917236825694209","0.8687772750854492","0.3784862094455295","0.443351752256443","0.7322259883450917","0.4090091779047048","0.898438061848256","0.6366160993262666","0.6885319733236621","0.6057103062831284","0.6554033065074487","0.6480211130264092"
"7","Palette_36_miss5","0.6244198414631899","0.4650830426335447","0.5879262164235115","0.9893689777540124","0.8716666102409363","0.37907616297403973","0.402772325147663","0.7270114702621772","0.32014166595762783","0.880759677217505","0.619493785907977","0.6666995195685645","0.5951316421562041","0.6380723686036204","0.6067983763610366"
"8","Palette_36_miss10","0.6226496394790343","0.4621176279422152","0.5876424461603165","0.9894471583159073","0.8706533312797546","0.37757015228271484","0.39004253256617244","0.7203604770232573","0.35505732447221805","0.886816867059891","0.6205197669336604","0.6654642179743683","0.5896566232879749","0.6351411800998109","0.6207979861552565"
"9","Palette_36_miss20","0.6278861762401527","0.4619719213831795","0.5867128968238831","0.9893193866895593","0.8688874244689941","0.3760870827568902","0.40203684270220547","0.7465506707304215","0.3758983442285727","0.889879610956831","0.6142064230151281","0.6664725952841937","0.5983905051646279","0.6392397592363674","0.6266614594001773"
"10","Palette_24_miss5","0.6435002223587238","0.4918598589554722","0.5978260710835457","0.9905227059903352","0.8731303811073303","0.35630279117160374","0.4187378216320095","0.7519846863341604","0.3514472455648926","0.8849118261327241","0.6090754409715815","0.6809272145970192","0.6000389200612759","0.6485718967827219","0.6151448375563994"
"11","Palette_24_miss10","0.6442464469637439","0.4995161315724178","0.5982132479548454","0.9906330834264341","0.8751742839813232","0.36074309878879124","0.4130327306537094","0.7477949685357733","0.33497689184200813","0.8973918342027627","0.5935859251594818","0.6831522274793603","0.5991862704898993","0.6495658446835759","0.6086515504014175"
"12","Palette_24_miss20","0.6385628097950452","0.48995382417839367","0.5964479595422745","0.9902171466661536","0.8743478655815125","0.3597513834635417","0.41116023459345663","0.7439712781423699","0.3158643302282153","0.8837470449172578","0.6017489187880434","0.6787954350454668","0.5973076904452201","0.6462003372053682","0.6004534313111721"
"13","Palette_26_miss5","0.6455382723982838","0.49360466641624556","0.5904093459248543","0.9893750418787417","0.8755438327789307","0.3657008277045356","0.3660531435941179","0.72570291024251","0.2607772253304207","0.881213771235078","0.6223335952535136","0.6797318316545313","0.5832501785800235","0.6411391704247282","0.5881081972730041"
"14","Palette_26_miss10","0.6345394612120979","0.4883333295970584","0.5907434225082397","0.9896266615909078","0.8781197667121887","0.3730943467881944","0.39128901471122424","0.7326510364979892","0.3686035010450881","0.8915820133149679","0.6329609640819756","0.675810718727076","0.5937885411773991","0.6430018477072053","0.6310488261473438"
"15","Palette_26_miss20","0.6431703019768957","0.4812088078103357","0.5903490856289864","0.9893481990565425","0.8711921572685242","0.36472172207302517","0.36729268647088587","0.7284533027611229","0.28546388804963196","0.8786334325396825","0.6205840553557499","0.6760190986181901","0.5829149671433895","0.6387774460282699","0.5948937919816881"
"16","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
