"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"2","Palette_v1","0.605572369660019","0.4367939250090302","0.5326101444661617","0.9718550682067871","0.9144569635391235","0.6489779949188232","0.3179886419518581","0.7222271239699886","0.7334215000944644","0.9494965497817208","0.6053030841942947","0.6367078768354996","0.6509126810949484","0.642389798539279","0.7627403780234934"
"3","Palette_v2","0.5750140472005647","0.4030499251397119","0.5407484956085682","0.9781622886657715","0.9274978041648865","0.7180113792419434","0.499441055299689","0.7160086952695721","0.719652366622465","0.9653039420896564","0.7627517468870268","0.624243689153654","0.7152397334940227","0.6606421068898015","0.815902685199716"
"1","Palette","0.6081306341221043","0.428841686273195","0.541188433766365","0.9794847369194031","0.9432056546211243","0.7032920519510905","0.5028466201994267","0.7110333461304035","0.808938997382726","0.9671971654529793","0.7636666767779587","0.6394113727702668","0.7150944182255112","0.6696845909523645","0.846600946537888"
"4","Palette_v3","0.5970000935478541","0.46048135321145484","0.5283621586859226","0.974161970615387","0.9420770406723022","0.7196150620778402","0.38605285092162517","0.6834350733389617","0.7187976771189695","0.9636283622025066","0.7221934544815303","0.6400013940151547","0.6827950067526823","0.6571188391101657","0.8015398312676688"
"5","Palette_v4","0.6346373017600575","0.5335733100473435","0.5447208285331726","0.9863293886184692","0.9393802881240845","0.7114238739013672","0.4717101646279092","0.7777225892289642","0.6899536943829273","0.9611287142655964","0.7591215149014013","0.6748152072397606","0.7250592289705813","0.694912815932089","0.803401307849975"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
