Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.3754442222928244,0.16711833623770825,0.4160420745611191,0.9762666432753854,0.8796243,0.20941335504705255,0.09872575008638658,0.5513337243848004,6.843221788818175e-05,0.5213718820861678,0.26338025647995966,0.0019709729439168606,0.04933574879227057,0.26338025647995966,0.48371781909175926,0.43477428416846214,0.46414040512244037,0.2616068569280052,0.10489565940538237
Multigrate,0.6120342415834402,0.3868367820841079,0.516598654910922,0.9890517773835555,0.93820447,0.15471861579201437,0.09068072076003982,0.8053069593172771,0.0010251153254741158,0.36368217054263563,0.13824043602082983,0.09511568123393316,0.3422852651860866,0.13824043602082983,0.6261303639905065,0.4972276907914829,0.574569294710897,0.1676492406296465,0.19188046081361654
Palette_harmony,0.6949789664217912,0.49028664788784465,0.5758081898093224,0.9967651989149011,0.8743439,0.22143145041032272,0.19600014549983377,0.7436492116770813,0.06692913385826772,0.6705393349553933,0.3319042356283158,0.16964285714285715,0.48885240775484684,0.3319042356283158,0.6894597507584648,0.5088561699143875,0.617218318420834,0.3564575681473256,0.3301331668420066
Palette_harmony_supervised,0.7165587251409333,0.5525834319645594,0.6050770431756973,0.9978539580884187,0.8804154,0.24842442165721546,0.2395315189442909,0.75918659008834,0.09906326190170665,0.7077047850770478,0.4166426574277261,0.22861819669894967,0.570219298245614,0.4166426574277261,0.7180182895924021,0.5318894776727285,0.6435667648245327,0.4078035681354935,0.4051600507907633
Palette_fastMNN,0.7079637163665551,0.480031807472111,0.5667661502957344,0.9960105263668558,0.8615623,0.2588003548708829,0.2513785098807168,0.7223072585958406,0.09254498714652956,0.7381064162754303,0.4206676622722093,0.35135135135135137,0.7271875000000001,0.4206676622722093,0.6876930501253141,0.5235121087491907,0.6220206735748648,0.4171063552313898,0.49973550454118687
Palette_fastMNN_supervised,0.7411281494872406,0.6578359507175454,0.614008292555809,0.9981923466143401,0.86822367,0.27668003602461383,0.25778674252001876,0.7637288490057866,0.08420295070169126,0.7913938004802445,0.4803732775862534,0.29466357308584684,0.710078125,0.4803732775862534,0.7527911848437339,0.5416048236737986,0.6683166403757597,0.45199000958939645,0.4950383252240334
Palette_Seurat,0.7116688538711488,0.5161390593099566,0.5717385560274124,0.9953794583030369,0.8516617,0.24407414956526322,0.23671098332772092,0.7088273933096726,0.10261194029850747,0.7446983048002687,0.4094135392730856,0.35207823960880197,0.6771181716833891,0.4094135392730856,0.6987314818778887,0.5103185520828908,0.6233663099598895,0.4189079281239539,0.4795366501884255
Palette_Seurat_supervised,0.7195172575759587,0.569512228263414,0.6065294966101646,0.9967421552409297,0.86488885,0.2583517378026789,0.2661548178314588,0.7410800998038519,0.10512403416022774,0.759894259818731,0.4506954136767933,0.30970149253731344,0.6968509771232749,0.4506954136767933,0.7230752844226167,0.5326188755780566,0.6468927208847928,0.4385712358852507,0.4857492944457939
Palette_denovo,0.6725912557881422,0.44539130065848354,0.5408300161361694,0.9911573036857273,0.8749223,0.2859552556818182,0.33536532559759064,0.7240189766445421,0.21106140707604717,0.8197570493454179,0.5853301065489004,0.4778270509977827,0.8481664833149981,0.5853301065489004,0.6624924690671306,0.5550654583667909,0.6195216647869947,0.5387161876567884,0.6371078802872271
Palette_denovo_supervised,0.735000404781123,0.5888125967231863,0.606904424726963,0.9965807199478149,0.8722932,0.3299158269708807,0.43012199902942677,0.7521835420504579,0.34428327645051193,0.8773914930555556,0.613276069536241,0.5343063702087028,0.8636917435533474,0.613276069536241,0.7318245365447719,0.5961286355793951,0.6775461761586212,0.6116502796807696,0.6704247277660972
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
