"","Embedding","KBET","iLISI"
"1","newDGE",0.633949996129731,0.840459823608398
"2","DGE",0.510178806409165,0.803340554237366
"3","origion",0.229893954640452,0.534807562828064
"4","random",0.185231055035219,0.450619101524353
