"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"2","Palette_s1","0.6783134351547626","0.26878697134493745","0.6461712718009949","0.9999999900658926","0.8936854004859924","0.4806203842163086","0.5402714471914302","0.9456667815857851","0.5277161862527716","0.9244725738396624","0.7725306572292866","0.6483179170916469","0.7150610033698791","0.6750151516029398","0.7415731391072402"
"3","Palette_s2","0.6764599933176806","0.2850242430727181","0.6463149785995483","0.9999999900658926","0.8894220590591431","0.41789521489824566","0.46441249588331035","0.907900214712436","0.6687754179846362","0.9417672028596962","0.804696419124379","0.65194980126396","0.6699074961382837","0.6591328792136895","0.8050796799895705"
"1","Palette","0.6473048882076583","0.22899216077264856","0.6449612826108932","0.9999999900658926","0.9096964597702026","0.4550651822771345","0.5481141772673322","0.9318336264890632","0.5831485587583148","0.9047669491525424","0.7451629281936498","0.6303145804142731","0.7111773614509331","0.6626596928289371","0.7443594787015023"
"4","Palette_s3","0.6611291144637182","0.2597996683394409","0.6479735970497131","0.9999999900658926","0.8920364379882812","0.4376979555402483","0.4992508152851131","0.9024482628119301","0.6208425720620843","0.9207325268817204","0.7736741865872976","0.6422255924796912","0.6828583679063932","0.658478702650372","0.7717497618437008"
"5","Palette_s4","0.6455094077710649","0.22856517723573952","0.6302260607481003","0.9999999900658926","0.9019021987915039","0.4726626532418387","0.6028386910714865","0.9055234117107441","0.7521739130434782","0.9554187192118226","0.8082114121131223","0.6260751589551994","0.7207317387038933","0.663937790854677","0.8386013481228077"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
