"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.8626254227879776","0.7084227724643332","0.7014120519161224","0.9999999929876888","0.93700397","0.7223783731460571","0.47004170480169244","0.9368385394003863","0.7665656468735788","0.8181150600390305","0.7974952947728497"
"2","BindSC","0.7386082829999547","0.5698814103345924","0.5628976970911026","0.9996748601689058","0.94380856","0.5543851852416992","0.28702523490284837","0.9157967087190397","0.6752539211166537","0.7177655626486389","0.7007609060358448"
"3","Seurat","0.6949337641297954","0.5114916925604692","0.6058204546570778","0.9978698492050171","0.87353367","0.21577692031860352","0.19279315268313202","0.879661989556134","0.5404414321729375","0.7025289401380899","0.6376939369520289"
"4","Harmony","0.6022306419002411","0.35844484064038257","0.5715133547782898","0.9969120376250323","0.87495553","0.052292823791503906","0.18334362065021315","0.8781360369618656","0.4971820040846451","0.6322752187359865","0.5782379328754499"
"5","fastMNN","0.6693207559381096","0.4661176938195754","0.583330787718296","0.9982753010357127","0.8883693","0.14082050323486328","0.15995109031579402","0.898442743047003","0.5218959146051951","0.6792611346279235","0.6163150466188321"
"6","scMoMaT","0.45294840453363","0.20432376648489298","0.506097006611526","0.9536509654101204","0.6713855","0.0","0.005430861424126988","0.49288349863469766","0.2924249716789823","0.5292550357600423","0.4345230101276183"
"7","StabMap","0.5739013880678291","0.3052880658414826","0.5719742923974991","0.9959905848783606","0.80228966","3.5762786865234375e-07","0.0266327907304401","0.8825804123231618","0.4278758063567003","0.6117885827962928","0.5382234722204557"
"8","uniport","0.6031024295576615","0.4570017548859842","0.5516128577291965","0.9964043533100801","0.8336222","0.08952271938323975","0.09974839450024943","0.8114368195351902","0.45858253764925605","0.6520303488707306","0.5746512243821409"
"9","UINMF","0.49409784623827535","0.33561879868682915","0.533992700278759","0.977658699540531","0.7507815","0.4821751117706299","0.21391376196555995","0.7509004103790852","0.5494426901532313","0.5853420111860986","0.5709822827729517"
"10","MaxFuse_200","0.6834979891372001","0.4411261158243913","0.5550274178385735","0.999200743787429","0.7981579","8.344650268554688e-07","0.012565749520332238","0.8759942517269362","0.42167967662044903","0.6697130666468984","0.5704997106363187"
"11","scConfluence_200","0.7249706758503213","0.5594372097112874","0.5821147784590721","0.9999999719507554","0.65539867","0.017765522003173828","0.03725307178634283","0.9002328623572688","0.40266253075136466","0.716630658992859","0.5910434076962613"
"12","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
