Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.4394434295722311,0.19221138074071517,0.434768408536911,0.9874313551446666,0.89202166,0.1959944421594793,0.127528404690562,0.5902377855176579,0.0,0.36894431882419443,0.21978556523287593,0.00015375153751537516,0.019430693069306906,0.21978556523287593,0.5134636434986309,0.45144557210101904,0.48865641493958617,0.19624329468569013,0.07979000327989941
Multigrate,0.6529782359665732,0.40022752222974334,0.5347750410437584,0.9911158862321273,0.931767,0.17875144698403098,0.13753563557128687,0.8467475326167251,0.020522388059701493,0.44715116279069766,0.1746780130158206,0.14974433893352812,0.48836482356210054,0.1746780130158206,0.6447741713680506,0.5237004005047416,0.596344663022727,0.21411718795540657,0.27092905850381643
Palette_harmony,0.7152537752078386,0.5275113782535764,0.5914387330412865,0.9976222774256831,0.84644336,0.19090494242581454,0.17988282941343336,0.7368423902055289,0.10513722730471499,0.6324473180076629,0.40373122295249614,0.12686567164179105,0.43657540826128727,0.40373122295249614,0.7079565409820961,0.48851837928206054,0.6201812763020819,0.3804385894216247,0.32239076761852486
Palette_harmony_supervised,0.7614925135818578,0.7341945919702441,0.6356511414051056,0.9986415375833926,0.8514657,0.1989278793334961,0.26561365845776347,0.7626555439640376,0.15794155888592348,0.7176164215686274,0.5527972063283929,0.18190298507462688,0.5216927083333333,0.5527972063283929,0.78249494613515,0.5196656959530455,0.6773632460623082,0.4761183955943145,0.418797633245451
Palette_fastMNN,0.7151740520224318,0.4975939479044159,0.568535178899765,0.9976018563560818,0.87074804,0.19551175290888007,0.15990476807783308,0.775634690581688,0.13805970149253732,0.7138281249999999,0.48435354339625025,0.22123015873015872,0.5676236263736264,0.48435354339625025,0.6947262587956736,0.500449813657176,0.6170156807402746,0.44541378996292913,0.4244024428333451
Palette_fastMNN_supervised,0.7506880206831656,0.5451962030979084,0.623446948826313,0.9988541136617246,0.8750836,0.21815870024941184,0.2226795800071991,0.7859294450950628,0.1710121125025662,0.7743622448979592,0.5485911632518019,0.2608751443603234,0.6164265129682998,0.5485911632518019,0.7295463215672779,0.5254628376670734,0.647912928007196,0.49798850688410906,0.4752976068601417
Palette_Seurat,0.7229832423851146,0.4885351457769103,0.5904583781957626,0.9973605560219806,0.8482235,0.23279415477405896,0.30230536206227737,0.7445610697049929,0.20822622107969152,0.7127093802345058,0.45570162435131045,0.2490079365079365,0.5981047937569677,0.45570162435131045,0.699834330594942,0.5319710234864141,0.6326890077515308,0.4588790752218359,0.43427145153873825
Palette_Seurat_supervised,0.760633722003594,0.6183687512738347,0.6325350850820541,0.9984833520391713,0.85698324,0.24420952796936035,0.32918558303057305,0.764434112347845,0.25959194148594894,0.7797060486150368,0.5969031851785815,0.3189303307529909,0.6262922876744735,0.5969031851785815,0.7525052275996635,0.548703116941719,0.6709843833364857,0.5454003917598558,0.5140419345353486
Palette_denovo,0.6876885491401167,0.44408309818922515,0.5492368042469025,0.9918700145638507,0.8775918,0.29945898056030273,0.4639285044971084,0.7330491331320402,0.41138059701492535,0.9038802083333333,0.7031908061666147,0.662605267873141,0.9265328874024527,0.7031908061666147,0.6682196165350237,0.5935071017395549,0.6383346106168362,0.672817203838291,0.7641096538140695
Palette_denovo_supervised,0.7693785442249685,0.6190733391728861,0.6394264549016953,0.998330427252728,0.8800214,0.34136464379050513,0.5338314466422754,0.7928039168957959,0.5827780625320349,0.9096414728682171,0.7493360907899154,0.6514961476437915,0.9001754385964913,0.7493360907899154,0.7565521913880695,0.6370053501569198,0.7087334548956097,0.7472518753967226,0.7670025590100661
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
