"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.7063648268915271","0.5362636997820618","0.575890377163887","0.9982508942484856","0.8972768","0.3908702850341797","0.3762888980892002","0.8393113586549776","0.4417191230735837","0.8898095969945354","0.7134245397565186","0.7041924495214904","0.6259368401326616","0.6728902057659589","0.6816510866082126"
"2","Multigrate","0.691290072871188","0.5616308405861594","0.5633840933442116","0.9983323439955711","0.83793455","0.06839065551757813","0.0404217514642916","0.7895593872167739","0.003667201466880587","0.27779200819672134","0.09149197356307617","0.7036593376992826","0.4340765869554608","0.5958262374017538","0.12431706107555936"
"3","scMoMaT","0.5459735068571595","0.3406973237369785","0.5083813918754458","0.9898075312376022","0.8937335","0.18531491756439208","0.1109034454228303","0.8043690511803815","0.09714428232946752","0.6529122807017544","0.40310544779837454","0.5962149384267965","0.4985802289004825","0.5571610546162709","0.38438733694319877"
"4","MIDAS","0.6729996820192796","0.533713680350757","0.5401558987796307","0.9987159669399261","0.8625477","0.23583564758300782","0.10601529196158052","0.9135946805275514","0.13126323218066338","0.6904925073099415","0.47764808597398073","0.6863963070223984","0.5294983289272223","0.6236371157843279","0.43313460848819524"
"5","scVAEIT","0.7340810424786199","0.630926599929819","0.6106337830424309","0.9991061091423035","0.8074265","0.0564056396484375","0.041412620357855985","0.9103838040727484","0.011189854531891086","0.25889685792349726","0.0710906607658556","0.7436868836482933","0.45390714408010135","0.6277749878210165","0.11372579107374799"
"6","StabMap","0.738874049599985","0.6045406544136451","0.5676928460597992","0.9988206699490547","0.88265646","0.06201825141906738","0.06280209767756714","0.8825700766986241","0.009952724558347848","0.35080645161290314","0.160902040138816","0.727482055005621","0.47251172020880916","0.6254939210868963","0.17388707210335566"
"7","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
