"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette","0.6458168470626747","0.4223084374482682","0.541317630559206","0.9865855548692786","0.887001","0.3751114209493001","0.40404350998824473","0.6937656872429742","0.31518326594573687","0.8932876208490962","0.5922660323860127","0.6490071174848568","0.5899803990433826","0.6253964301082672","0.6002456397269486"
"2","Multigrate","0.21720789001187238","0.06847734831922721","0.45917196944355965","0.9446689875229545","0.90189034","0.2394613954755995","0.07495933775548863","0.5919606046044795","0.005565688506737814","0.6574118589743589","0.3371629748345241","0.42238154882440343","0.4520679188256903","0.43425609682491817","0.33338017410520693"
"3","scMoMaT","0.44256666932932087","0.208345015230798","0.47522712126374245","0.9852157779361891","0.8692579","0.07803221543629964","0.030865824635464098","0.6957310291964355","0.0","0.4330637254901961","0.1838329858716536","0.5278386459400126","0.4184717490522793","0.4840918871849193","0.2056322371206166"
"4","MIDAS","0.6213263751253774","0.39862111813446766","0.540287334471941","0.9879850719286047","0.90747714","0.2832370334201389","0.17015400690804397","0.8654877513550443","0.14014859455965895","0.8186034554660354","0.5019024518289144","0.6370549749150978","0.5565889830274657","0.6048685781600449","0.4868848339515362"
"5","StabMap","0.022463185641895502","-0.005668907256324713","0.16368481516838074","0.8395882896755053","0.70836455","0.14017939567565918","0.0005446623093681918","0.15771318908971052","0.005977457934376857","0.7085299260763482","0.22168706715074163","0.25501684580736417","0.25170044834342964","0.25369028682179035","0.3120648170538222"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
