"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"2","Palette_v1","0.5984924146554181","0.48804455980325673","0.5373493954539299","0.9756332397460937","0.9311549663543701","0.6449405352274576","0.4530714870805718","0.7065224223178709","0.737265955305013","0.9629971219256933","0.7678840308671742","0.6498799024146746","0.6839223527450676","0.6634968825468318","0.8227157026992935"
"1","Palette","0.6332461079858196","0.4756618126711191","0.5442966781556606","0.983979094028473","0.9326503276824951","0.7195804119110107","0.5787001348335525","0.7386162184128218","0.7894327077233589","0.9720580808080808","0.7631485239683282","0.6592959232102681","0.74238677320997","0.6925322632101489","0.8415464374999226"
"3","Palette_v2","0.6021572267171006","0.4135561030461507","0.5409847870469093","0.9893039464950562","0.9331972599029541","0.6969252427419027","0.5341850459465045","0.7153754272824924","0.7920273807127038","0.9714285714285715","0.7822756183566837","0.6365005158263042","0.7199207439684635","0.6698686070831679","0.8485771901659863"
"4","Palette_v3","0.6129564281830326","0.4454296471819467","0.5304876118898392","0.9751876592636108","0.9291836023330688","0.6561009089152018","0.42689806079288156","0.6555211824082939","0.7651615341016437","0.9666548463356974","0.7715464035905413","0.6410153366296074","0.6669259386123615","0.651379577422709","0.8344542613426275"
"5","Palette_v4","0.6162083126153164","0.48190739138821337","0.5315171852707863","0.979710865020752","0.9271333813667297","0.6936022440592448","0.5730182586217962","0.7442750068442546","0.7185610985904545","0.9691326530612245","0.7616270572953585","0.652335938573767","0.7345072227230063","0.6852044522334628","0.8164402696490125"
"6","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
